"Job Title","Maximum Salary"
"Public Accountant",9000.00
"Accounting Manager",16000.00
"Administration Assistant",6000.00
President,40000.00
"Administration Vice President",30000.00
Accountant,9000.00
"Finance Manager",16000.00
"Human Resources Representative",9000.00
Programmer,10000.00
"Marketing Manager",15000.00
"Marketing Representative",9000.00
"Public Relations Representative",10500.00
"Purchasing Clerk",5500.00
"Purchasing Manager",15000.00
"Sales Manager",20000.00
"Sales Representative",12000.00
"Shipping Clerk",5500.00
"Stock Clerk",5000.00
"Stock Manager",8500.00
